date,start_station_name,avgTemp,season,month,value
2022-01-14,City Hall,0.48,winter,1,1
2022-01-17,City Hall,0.39,winter,1,1
2022-01-20,City Hall,0.51,winter,1,1
2022-01-06,Montgomery St,0.49,winter,1,1
2022-01-24,Liberty Light Rail,-0.02,winter,1,1
2022-01-23,Manila & 1st,-0.0699999999999999,winter,1,1
2022-01-09,Jersey & 6th St,0.1399999999999999,winter,1,1
2022-01-05,Jersey & 6th St,0.32,winter,1,1
2022-01-23,Liberty Light Rail,-0.0699999999999999,winter,1,1
2022-01-25,Paulus Hook,0.36,winter,1,1
2022-01-05,Jersey & 6th St,0.32,winter,1,1
2022-01-19,Hoboken Terminal - River St & Hudson Pl,0.32,winter,1,1
2022-01-24,Grove St PATH,-0.02,winter,1,1
2022-01-04,Grove St PATH,-0.27,winter,1,1
2022-01-01,Grove St PATH,1.16,winter,1,1
2022-01-11,Grove St PATH,-0.54,winter,1,1
2022-01-25,City Hall,0.36,winter,1,1
2022-01-23,Liberty Light Rail,-0.0699999999999999,winter,1,1
2022-01-01,Liberty Light Rail,1.16,winter,1,1
2022-01-03,City Hall,0.1399999999999999,winter,1,1
2022-01-23,Grand St,-0.0699999999999999,winter,1,1
2022-01-20,City Hall - Washington St & 1 St,0.51,winter,1,1
2022-01-31,Madison St & 1 St,-0.3399999999999999,winter,1,1
2022-01-09,Manila & 1st,0.1399999999999999,winter,1,1
2022-01-19,Madison St & 1 St,0.32,winter,1,1
2022-01-29,Paulus Hook,-0.48,winter,1,1
2022-01-22,Montgomery St,-0.5900000000000001,winter,1,1
2022-01-11,Washington St,-0.54,winter,1,1
2022-01-14,Hoboken Terminal - Hudson St & Hudson Pl,0.48,winter,1,1
2022-01-18,Washington St,0.18,winter,1,1
2022-01-06,City Hall,0.49,winter,1,1
2022-01-25,City Hall,0.36,winter,1,1
2022-01-10,City Hall,0.16,winter,1,1
2022-01-23,Hoboken Terminal - Hudson St & Hudson Pl,-0.0699999999999999,winter,1,1
2022-01-09,Hoboken Terminal - River St & Hudson Pl,0.1399999999999999,winter,1,1
2022-01-09,City Hall,0.1399999999999999,winter,1,1
2022-01-02,Madison St & 1 St,1.14,winter,1,1
2022-01-19,City Hall - Washington St & 1 St,0.32,winter,1,1
2022-01-17,Hoboken Terminal - River St & Hudson Pl,0.39,winter,1,1
2022-01-02,Manila & 1st,1.14,winter,1,1
2022-01-27,Willow Ave & 12 St,-0.42,winter,1,1
2022-01-16,Warren St,-0.8,winter,1,1
2022-01-03,Hoboken Terminal - River St & Hudson Pl,0.1399999999999999,winter,1,1
2022-01-18,Hoboken Terminal - River St & Hudson Pl,0.18,winter,1,1
2022-01-13,Hoboken Terminal - River St & Hudson Pl,0.4,winter,1,1
2022-01-27,9 St HBLR - Jackson St & 8 St,-0.42,winter,1,1
2022-01-22,9 St HBLR - Jackson St & 8 St,-0.5900000000000001,winter,1,1
2022-01-28,9 St HBLR - Jackson St & 8 St,0.01,winter,1,1
2022-01-15,9 St HBLR - Jackson St & 8 St,-0.67,winter,1,1
2022-01-24,City Hall - Washington St & 1 St,-0.02,winter,1,1
2022-01-03,Hoboken Terminal - River St & Hudson Pl,0.1399999999999999,winter,1,1
2022-01-13,Hoboken Terminal - River St & Hudson Pl,0.4,winter,1,1
2022-01-02,12 St & Sinatra Dr N,1.14,winter,1,1
2022-01-25,City Hall - Washington St & 1 St,0.36,winter,1,1
2022-01-02,12 St & Sinatra Dr N,1.14,winter,1,1
2022-01-10,Madison St & 1 St,0.16,winter,1,1
2022-01-28,Hoboken Terminal - River St & Hudson Pl,0.01,winter,1,1
2022-01-05,Hoboken Terminal - River St & Hudson Pl,0.32,winter,1,1
2022-01-18,Grove St PATH,0.18,winter,1,1
2022-01-03,Newport Pkwy,0.1399999999999999,winter,1,1
2022-01-24,Hoboken Terminal - Hudson St & Hudson Pl,-0.02,winter,1,1
2022-01-02,Montgomery St,1.14,winter,1,1
2022-01-31,12 St & Sinatra Dr N,-0.3399999999999999,winter,1,1
2022-01-25,Grove St PATH,0.36,winter,1,1
2022-01-02,Grove St PATH,1.14,winter,1,1
2022-01-01,Newport Pkwy,1.16,winter,1,1
2022-01-13,City Hall,0.4,winter,1,1
2022-01-01,Hoboken Terminal - River St & Hudson Pl,1.16,winter,1,1
2022-01-25,Liberty Light Rail,0.36,winter,1,1
2022-01-06,Liberty Light Rail,0.49,winter,1,1
2022-01-06,5 Corners Library,0.49,winter,1,1
2022-01-06,City Hall,0.49,winter,1,1
2022-01-19,Washington St,0.32,winter,1,1
2022-01-10,Washington St,0.16,winter,1,1
2022-01-08,Essex Light Rail,-0.25,winter,1,1
2022-01-15,Willow Ave & 12 St,-0.67,winter,1,1
2022-01-26,Washington St,-0.2299999999999999,winter,1,1
2022-01-25,Hoboken Terminal - River St & Hudson Pl,0.36,winter,1,1
2022-01-10,Madison St & 1 St,0.16,winter,1,1
2022-01-21,Madison St & 1 St,-0.6,winter,1,1
2022-01-05,Madison St & 1 St,0.32,winter,1,1
2022-01-14,Madison St & 1 St,0.48,winter,1,1
2022-01-19,City Hall - Washington St & 1 St,0.32,winter,1,1
2022-01-20,Riverview Park,0.51,winter,1,1
2022-01-27,Hoboken Terminal - Hudson St & Hudson Pl,-0.42,winter,1,1
2022-01-18,9 St HBLR - Jackson St & 8 St,0.18,winter,1,1
2022-01-26,Hoboken Terminal - River St & Hudson Pl,-0.2299999999999999,winter,1,1
2022-01-19,City Hall,0.32,winter,1,1
2022-01-23,Grove St PATH,-0.0699999999999999,winter,1,1
2022-01-26,Madison St & 1 St,-0.2299999999999999,winter,1,1
2022-01-14,Hoboken Terminal - Hudson St & Hudson Pl,0.48,winter,1,1
2022-01-02,Hoboken Terminal - Hudson St & Hudson Pl,1.14,winter,1,1
2022-01-28,Hoboken Terminal - Hudson St & Hudson Pl,0.01,winter,1,1
2022-01-15,Hoboken Terminal - Hudson St & Hudson Pl,-0.67,winter,1,1
2022-01-18,Hoboken Terminal - River St & Hudson Pl,0.18,winter,1,1
2022-01-12,Grove St PATH,-0.19,winter,1,1
2022-01-24,Hoboken Terminal - Hudson St & Hudson Pl,-0.02,winter,1,1
2022-01-22,Hoboken Terminal - Hudson St & Hudson Pl,-0.5900000000000001,winter,1,1
2022-01-17,Hoboken Terminal - Hudson St & Hudson Pl,0.39,winter,1,1
2022-01-17,Hoboken Terminal - Hudson St & Hudson Pl,0.39,winter,1,1
2022-01-25,Newport Pkwy,0.36,winter,1,1
2022-01-18,Riverview Park,0.18,winter,1,1
2022-01-16,Manila & 1st,-0.8,winter,1,1
2022-01-02,Warren St,1.14,winter,1,1
2022-01-25,Manila & 1st,0.36,winter,1,1
2022-01-01,Hoboken Terminal - River St & Hudson Pl,1.16,winter,1,1
2022-01-06,City Hall - Washington St & 1 St,0.49,winter,1,1
2022-01-11,Newport Pkwy,-0.54,winter,1,1
2022-01-08,Warren St,-0.25,winter,1,1
2022-01-06,Manila & 1st,0.49,winter,1,1
2022-01-18,Hoboken Terminal - River St & Hudson Pl,0.18,winter,1,1
2022-01-05,Newport Pkwy,0.32,winter,1,1
2022-01-05,Manila & 1st,0.32,winter,1,1
2022-01-15,Newport Pkwy,-0.67,winter,1,1
2022-01-15,Warren St,-0.67,winter,1,1
2022-01-26,Warren St,-0.2299999999999999,winter,1,1
2022-01-18,Newport Pkwy,0.18,winter,1,1
2022-01-23,Newport Pkwy,-0.0699999999999999,winter,1,1
2022-01-01,Newport Pkwy,1.16,winter,1,1
2022-01-18,Newport Pkwy,0.18,winter,1,1
2022-01-23,Warren St,-0.0699999999999999,winter,1,1
2022-01-03,Warren St,0.1399999999999999,winter,1,1
2022-01-23,Newport Pkwy,-0.0699999999999999,winter,1,1
2022-01-09,Warren St,0.1399999999999999,winter,1,1
2022-01-10,Newport Pkwy,0.16,winter,1,1
2022-01-02,Warren St,1.14,winter,1,1
2022-01-27,Newport Pkwy,-0.42,winter,1,1
2022-01-01,Newport Pkwy,1.16,winter,1,1
2022-01-23,Newport Pkwy,-0.0699999999999999,winter,1,1
2022-01-27,Newport Pkwy,-0.42,winter,1,1
2022-01-19,Newport Pkwy,0.32,winter,1,1
2022-01-26,Newport Pkwy,-0.2299999999999999,winter,1,1
2022-01-26,Newport Pkwy,-0.2299999999999999,winter,1,1
2022-01-27,Newport Pkwy,-0.42,winter,1,1
2022-01-19,Warren St,0.32,winter,1,1
2022-01-02,Brunswick & 6th,1.14,winter,1,1
2022-01-03,City Hall - Washington St & 1 St,0.1399999999999999,winter,1,1
2022-01-14,Montgomery St,0.48,winter,1,1
2022-01-01,Grand St,1.16,winter,1,1
2022-01-04,City Hall,-0.27,winter,1,1
2022-01-09,Newport Pkwy,0.1399999999999999,winter,1,1
2022-01-08,Warren St,-0.25,winter,1,1
2022-01-23,Warren St,-0.0699999999999999,winter,1,1
2022-01-06,Harborside,0.49,winter,1,1
2022-01-08,City Hall,-0.25,winter,1,1
2022-01-23,Harborside,-0.0699999999999999,winter,1,1
2022-01-11,Brunswick & 6th,-0.54,winter,1,1
2022-01-18,Brunswick & 6th,0.18,winter,1,1
2022-01-16,Baldwin at Montgomery,-0.8,winter,1,1
2022-01-02,Baldwin at Montgomery,1.14,winter,1,1
2022-01-07,5 Corners Library,0.0699999999999999,winter,1,1
2022-01-27,Hoboken Terminal - Hudson St & Hudson Pl,-0.42,winter,1,1
2022-01-20,Newport Pkwy,0.51,winter,1,1
2022-01-14,Newport Pkwy,0.48,winter,1,1
2022-01-16,Clinton St & Newark St,-0.8,winter,1,1
2022-01-10,Clinton St & Newark St,0.16,winter,1,1
2022-01-16,Hoboken Ave at Monmouth St,-0.8,winter,1,1
